dia,periodo,tipo_entrega,borda,refrigerante,valor_total,tempo
quarta,Inicio,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 22-33"
quarta,Inicio,Buscar,"borda nao","refrigerante nao","vl 22-26","tp 22-33"
quarta,Inicio,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 22-33"
quarta,Inicio,Entrega,"borda nao","refrigerante nao","vl 26-30","tp 33-44"
quarta,Inicio,Entrega,"borda nao","refrigerante nao","vl 34-38","tp 33-44"
quarta,Inicio,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 22-33"
quarta,Inicio,Entrega,"borda nao","refrigerante sim","vl 30-34","tp 33-44"
quarta,Inicio,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 44-55"
quarta,Inicio,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
quarta,Inicio,Entrega,"borda nao","refrigerante sim","vl 34-38","tp 44-55"
quarta,Inicio,Entrega,"borda nao","refrigerante nao","vl 26-30","tp 44-55"
quarta,Pico,Entrega,"borda sim","refrigerante nao","vl 30-34","tp 44-55"
quarta,Pico,Buscar,"borda nao","refrigerante nao","vl 18-22","tp 22-33"
quarta,Pico,Entrega,"borda nao","refrigerante nao","vl 26-30","tp 22-33"
quarta,Final,Entrega,"borda nao","refrigerante sim","vl 38-42","tp 22-33"
quarta,Final,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 10-22"
quinta,Inicio,Buscar,"borda nao","refrigerante nao","vl 18-22","tp 33-44"
quinta,Inicio,Entrega,"borda nao","refrigerante nao","vl 14-18","tp 33-44"
quinta,Pico,Buscar,"borda nao","refrigerante nao","vl 14-18","tp 33-44"
quinta,Pico,Buscar,"borda nao","refrigerante nao","vl 10-14","tp 22-33"
quinta,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 44-55"
quinta,Final,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
sexta,Final,Buscar,"borda nao","refrigerante nao","vl 26-30","tp 33-44"
sexta,Inicio,Entrega,"borda nao","refrigerante nao","vl 34-38","tp 33-44"
sexta,Inicio,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 22-33"
sexta,Inicio,Entrega,"borda nao","refrigerante nao","vl 18-22","tp 33-44"
sexta,Inicio,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
sexta,Inicio,Buscar,"borda nao","refrigerante nao","vl 10-14","tp 33-44"
sexta,Inicio,Entrega,"borda nao","refrigerante nao","vl 34-38","tp 44-55"
sexta,Pico,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 44-55"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 44-55"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 26-30","tp 44-55"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 18-22","tp 33-44"
sexta,Pico,Buscar,"borda nao","refrigerante nao","vl 10-14","tp 33-44"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 14-18","tp 10-22"
sexta,Final,Buscar,"borda nao","refrigerante nao","vl 10-14","tp 22-33"
sábado,Inicio,Buscar,"borda nao","refrigerante nao","vl 18-22","tp 44-55"
sábado,Inicio,Buscar,"borda nao","refrigerante nao","vl 14-18","tp 22-33"
sábado,Inicio,Buscar,"borda nao","refrigerante nao","vl 22-26","tp 44-55"
